id,code,title_ko,COMM,RESP,PROB,GROW,STRE,ADAP,representative_job
131,2339,기타 종교 관련 종사원,3,3,3,3,3,3,기타전문직
132,24,경찰·소방·교도직,3,3,3,3,4,3,경찰·소방·교정
133,240,경찰관,3,3,3,3,4,3,경찰·소방·교정
134,2401,경찰관 및 수사관,3,3,3,3,4,3,경찰·소방·교정
135,2402,소방관,3,3,3,3,4,3,경찰·소방·교정
136,2403,소년원 학교 교사 및 교도관,4,3,3,4,4,3,교육·교사
137,25,군인,3,3,3,3,3,3,군인
138,250,군인,3,3,3,3,3,3,군인
139,2501,영관급 이상 장교,3,3,3,3,3,3,군인
140,2502,위관급 장교,3,3,3,3,3,3,군인
141,2503,준사관,3,3,3,3,3,3,군인
142,2504,부사관,3,3,3,3,3,3,군인
143,2509,기타 군인,3,3,3,3,3,3,군인
144,30,보건·의료직,3,3,3,3,3,3,의사(전체)
145,301,의사,3,3,3,3,3,3,의사(전체)
146,3011,전문 의사,3,3,3,3,3,3,의사(전체)
147,3012,일반 의사,3,3,3,3,3,3,의사(전체)
148,3013,한의사,3,3,3,3,3,3,의사(전체)
149,3014,치과의사,3,3,3,3,3,3,의사(전체)
150,302,수의사,3,3,3,3,3,3,의사(전체)
151,3020,수의사,3,3,3,3,3,3,의사(전체)
152,303,약사 및 한약사,3,3,3,3,3,3,약무/보건행정
153,3031,약사,3,3,3,3,3,3,약무/보건행정
154,3032,한약사,3,3,3,3,3,3,약무/보건행정
155,304,간호사,4,3,3,3,4,3,간호사
156,3040,간호사,4,3,3,3,4,3,간호사
157,305,영양사,3,3,3,3,3,3,기타전문직
158,3050,영양사,3,3,3,3,3,3,기타전문직
159,306,의료기사·치료사·재활사,4,3,3,3,3,3,의사(전체)
160,3061,임상병리사,3,3,3,3,3,3,임상병리사
161,3062,방사선사,3,3,3,3,3,3,기타전문직
162,3063,치과기공사,3,3,3,3,3,3,치위생/치과 직무
163,3064,치과위생사,3,3,3,3,3,3,치위생/치과 직무
164,3065,물리 및 작업 치료사,4,3,3,3,3,3,치료사(물리·작업)
165,3066,임상심리사,3,3,3,3,3,3,상담사/심리상담사
166,3067,재활공학 기사,3,3,5,3,3,3,기타전문직
167,3068,언어 및 청각능력 재활사,3,3,3,3,3,3,기타전문직
168,3069,기타 치료·재활사 및 의료기사,4,3,3,3,3,3,의사(전체)
169,307,보건·의료 종사자,3,3,3,3,3,3,의사(전체)
170,3071,응급 구조사,3,3,3,3,4,3,기타전문직
171,3072,위생사,3,3,3,3,3,3,기타전문직
172,3073,안경사,3,3,3,3,3,3,기타전문직
173,3074,보건의료정보 관리사,3,3,3,3,3,3,의사(전체)
174,3075,간호조무사,4,3,3,3,4,3,간호사
175,3076,환자안전 관리사,3,3,3,3,3,3,기타전문직
176,3077,수의사 보조원,3,3,3,3,3,3,의사(전체)
177,3078,안마사,3,3,3,3,3,3,기타전문직
178,3079,기타 돌봄 및 보건 서비스,4,3,3,3,3,3,기타전문직
179,41,예술·디자인·방송직,3,3,3,3,3,3,시각디자이너
180,411,작가·통번역가,3,3,3,3,3,3,기자·작가·출판
181,4111,작가,3,3,3,3,3,3,기자·작가·출판
182,4112,번역가 및 통역가,3,3,3,3,3,3,기타전문직
183,4113,출판물 전문가,3,3,3,3,3,3,기자·작가·출판
184,412,기자 및 언론 전문가,3,3,3,3,3,3,기자·작가·출판
185,4120,기자 및 언론 관련 전문가,3,3,3,3,3,3,기자·작가·출판
186,413,학예사·사서·기록물관리사,3,3,3,3,3,3,기타전문직
187,4131,학예사 및 문화재 보존원,3,3,3,3,3,3,기타전문직
188,4132,사서 및 기록물관리사,3,3,3,3,3,3,기타전문직
189,414,창작·공연 전문가,3,3,3,3,3,3,기타전문직
190,4141,화가 및 조각가,3,3,3,3,3,3,기타전문직
191,4142,사진기자 및 사진사,3,3,3,3,3,3,기자·작가·출판
192,4143,만화가 및 만화영화 작가,3,3,3,3,3,3,기자·작가·출판
193,4144,국악 및 전통 예능인,3,3,3,3,3,3,기타전문직
194,4145,지휘자,3,3,3,3,3,3,기타전문직
195,4146,가수 및 성악가,3,3,3,3,3,3,기타전문직
196,4147,무용가 및 안무가,3,3,3,3,3,3,기타전문직
197,4149,기타 시각 및 공연 예술가,3,3,3,3,3,3,기타전문직
198,415,디자이너,3,3,3,4,3,3,기타전문직
199,4151,제품 디자이너,3,3,3,4,3,3,기타전문직
200,4152,패션 디자이너,3,3,3,4,3,3,기타전문직
201,4153,실내장식 디자이너,3,3,3,4,3,3,기타전문직
202,4154,시각 디자이너,3,3,3,4,3,3,기타전문직
203,4155,미디어 콘텐츠 디자이너,3,3,3,4,3,3,영상편집/콘텐츠
204,416,연극·영화·방송 전문가,3,3,3,3,3,3,기타전문직
205,4161,감독 및 기술 감독,3,3,3,3,3,3,기타전문직
206,4162,배우 및 모델,3,3,3,3,3,3,기타전문직
207,4163,아나운서 및 리포터,3,3,3,3,3,3,기타전문직
208,4164,촬영기사,3,3,3,3,3,3,기타전문직
209,4165,음향 및 녹음 기사,3,3,3,3,3,3,기타전문직
210,4166,영상,3,3,3,3,3,3,영상편집/콘텐츠
211,4167,조명기사 및 영사기사,3,3,3,3,3,3,기타전문직
212,4168,미디어 콘텐츠 창작자,3,3,3,3,3,3,영상편집/콘텐츠
